pop,lat,long,two_fourD_1x,dicamba_1x,atrazine_1x,glyphosate_1x,imazethapyr_1x,two_fourD_3x,dicamba_3x,atrazine_3x,glyphosate_3x,imazethapyr_3x,resistance_1x,tested_ima_gly_atraz,tested_all_herbs
A1,,,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A10,44.5501,-91.3901,,,x,x,x,,,x,x,x,imazethapyr + glyphosate + atrazine,x,
A11,43.557218,-90.889119,,,x,x,x,,,,x,x,imazethapyr + glyphosate + atrazine,x,x
A12,44.1324,-91.55146,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A13,43.598136,-88.278865,,,,x,x,,,,x,x,imazethapyr + glyphosate,,
A14,43.518335,-88.451116,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A15,42.700158,-89.198636,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A17,44.245922,-88.534726,,,x,x,x,,,,x,x,imazethapyr + glyphosate + atrazine,x,x
A18,44.104862,-88.723604,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A19,44.078416,-88.162652,,,x,x,x,,,,x,x,imazethapyr + glyphosate + atrazine,x,
A2,44.694456,-92.013125,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A20,44.358965,-88.168584,x,,x,,x,,,x,,x,"imazethapyr + atrazine + 2,4-D",x,x
A21,44.489708,-88.251927,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A22,44.395886,-88.212347,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A23,42.857878,-89.251281,x,,,x,x,,,,x,x,"imazethapyr + glyphosate + 2,4-D",x,x
A24,44.300939,-88.059514,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A25,44.311068,-88.293739,,,,x,x,,,,,x,imazethapyr + glyphosate,x,
A26,42.837831,-88.336261,,,x,x,x,,,,x,x,imazethapyr + glyphosate + atrazine,x,
A27,42.935252,-88.325648,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A28,43.08092,-88.380852,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A29,44.981546,-87.211167,,,,,,,,,,,susceptible,,
A3,44.694456,-92.013125,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A30,44.814772,-87.622445,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A31,44.734599,-87.670717,,x,,x,x,,,,x,x,imazethapyr + glyphosate + dicamba,x,x
A32,44.713336,-87.701973,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A33,43.91,-88.14,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A34,44.02,-87.98,x,,,x,x,,,,x,x,"imazethapyr + glyphosate + 2,4-D",x,x
A35,44.1,-88.12,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A36,44.03,-88.18,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A37,43.586367,-89.384626,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A38,43.806267,-87.85771,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A39,43.862247,-87.842485,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A40,42.761388,-89.251111,,,,x,x,,,,,x,imazethapyr + glyphosate,x,
A41,44.470366,-87.979447,,,,x,x,,,,,x,imazethapyr + glyphosate,x,x
A42,42.571569,-89.201148,,,,x,x,,,,,x,imazethapyr + glyphosate,x,
A43,42.85612,-89.41285,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A44,42.56334,-89.23039,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A45,42.828888,-89.532222,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A46,43.557218,-90.889119,,,x,x,,,,,x,,glyphosate + atrazine,,
A47,42.83,-89.65,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A48,42.8,-89.34,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A49,42.83,-89.52,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A5,,,,,,x,,,,,x,,glyphosate,,
A50,42.81,-89.55,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A51,42.86,-89.52,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A52,42.760624,-89.566913,,,,,x,,,,,,imazethapyr,x,
A53,42.700766,-89.281553,,,,x,x,,,,,x,imazethapyr + glyphosate,x,
A54,42.503642,-89.176301,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A55,42.811185,-89.272597,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A56,42.62828,-89.250021,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A57,42.776501,-89.240982,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A58,42.658392,-89.185665,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A59,42.749,-89.45,,,,x,x,,,,x,x,imazethapyr + glyphosate,,
A6,,,,,,x,,,,,x,,glyphosate,,
A60,42.803268,-89.244854,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A61,42.695045,-89.445731,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A62,42.6645,-88.8335,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A63,42.756701,-89.380661,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A64,42.825869,-89.362225,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A65,42.825243,-90.839241,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A66,42.831016,-90.789129,,,x,,x,,,,,x,imazethapyr + atrazine,x,x
A67,43.87135,-88.18714,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A68,44.206795,-88.061474,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A69,43.639931,-88.582963,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A7,,,,,,x,x,,,,x,x,imazethapyr + glyphosate,,
A70,43.854308,-90.654081,,,x,x,x,,,x,x,x,imazethapyr + glyphosate + atrazine,x,
A72,44.375,-89.058,,,,x,x,,,,x,x,imazethapyr + glyphosate,,
A73,42.734906,-90.48179,,,x,,x,,,,,x,imazethapyr + atrazine,x,
A74,42.733796,-90.334887,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A75,43.67459,-88.66232,x,,x,x,x,,,,x,x,"imazethapyr + glyphosate + atrazine + 2,4-D",x,x
A76,43.706832,-88.624018,x,,,x,x,,,,x,x,"imazethapyr + glyphosate + 2,4-D",x,x
A77,43.714655,-88.517007,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A78,,,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A79,,,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A8,44.298934,-88.015528,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A80,,,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A81,,,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A82,45.170112,-91.286127,,,,,x,,,,,x,imazethapyr,x,x
A83,44.129006,-88.586193,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A84,44.708675,-92.64005,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A85,44.970642,-92.200761,,,x,x,x,,,,x,x,imazethapyr + glyphosate + atrazine,x,
A86,44.851672,-92.563967,,,,x,x,,,,x,x,imazethapyr + glyphosate,,
A87,43.61875,-87.905367,,,,x,x,,,,x,,imazethapyr + glyphosate,x,x
A88,,,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A89,43.872497,-87.813161,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,
A9,43.891388,-91.009444,,,x,x,x,,,x,x,x,imazethapyr + glyphosate + atrazine,x,x
A90,44.828195,-87.954893,,,,x,x,,,,x,x,imazethapyr + glyphosate,x,x
A91,45.017061,-91.004261,,,,,x,,,,,x,imazethapyr,,
