id,run,trt,spp,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,bio_red
1,1,1,sorvu,1,35,50,50,50,1,0.95
2,1,1,sorvu,2,40,60,50,30,1,0.88
3,1,1,sorvu,3,35,55,30,25,1,0.81
4,1,1,sorvu,4,40,50,50,50,1,0.95
5,1,1,sorvu,5,40,50,40,30,1,0.91
6,1,1,sorvu,6,40,60,50,25,1,0.88
7,1,2,sorvu,6,50,60,70,20,1,0.84
8,1,2,sorvu,2,50,50,60,60,1,0.93
9,1,2,sorvu,3,55,50,60,60,1,0.95
10,1,2,sorvu,4,50,50,70,65,1,0.96
11,1,2,sorvu,5,55,50,70,70,1,0.96
12,1,2,sorvu,6,55,50,65,60,1,0.96
13,1,3,sorvu,1,0,0,0,0,1,0.00
14,1,3,sorvu,2,0,0,0,0,1,0.00
15,1,3,sorvu,3,0,0,0,0,1,0.03
16,1,3,sorvu,4,0,0,0,0,1,0.00
17,1,3,sorvu,5,0,0,0,0,1,0.00
18,1,3,sorvu,6,0,0,0,0,1,0.00
19,1,4,sorvu,1,55,50,50,60,1,0.93
20,1,4,sorvu,2,55,60,60,60,1,0.95
21,1,4,sorvu,3,55,65,60,60,1,0.95
22,1,4,sorvu,4,55,60,40,40,1,0.82
23,1,4,sorvu,5,55,60,50,60,1,0.92
24,1,4,sorvu,6,55,60,60,60,1,0.95
25,1,5,sorvu,1,65,65,60,70,1,0.96
26,1,5,sorvu,2,60,75,90,85,1,0.93
27,1,5,sorvu,3,60,75,85,85,1,0.92
28,1,5,sorvu,4,65,80,90,85,1,0.97
29,1,5,sorvu,5,60,80,90,90,1,0.96
30,1,5,sorvu,6,65,75,85,85,1,0.95
31,1,6,sorvu,1,65,75,85,80,1,0.96
32,1,6,sorvu,2,70,85,85,90,1,0.93
33,1,6,sorvu,3,65,80,80,90,1,0.94
34,1,6,sorvu,4,75,100,100,100,0,1.00
35,1,6,sorvu,5,65,80,90,90,1,0.97
36,1,6,sorvu,6,65,75,80,90,1,0.96
37,1,7,sorvu,1,70,90,100,100,0,1.00
38,1,7,sorvu,2,70,95,100,100,0,1.00
39,1,7,sorvu,3,70,90,95,100,0,1.00
40,1,7,sorvu,4,65,80,90,100,0,1.00
41,1,7,sorvu,5,70,95,95,100,0,1.00
42,1,7,sorvu,6,75,100,100,100,0,1.00
43,1,8,sorvu,1,80,100,100,100,0,1.00
44,1,8,sorvu,2,70,80,85,85,1,0.96
45,1,8,sorvu,3,65,85,90,100,0,1.00
46,1,8,sorvu,4,70,85,90,95,1,0.95
47,1,8,sorvu,5,65,85,85,85,1,0.94
48,1,8,sorvu,6,65,90,90,90,1,0.95
49,1,9,sorvu,1,65,70,65,90,1,0.95
50,1,9,sorvu,2,65,60,65,70,1,0.94
51,1,9,sorvu,3,70,60,70,70,1,0.94
52,1,9,sorvu,4,65,75,75,80,1,0.96
53,1,9,sorvu,5,65,70,70,75,1,0.93
54,1,9,sorvu,6,65,70,75,75,1,0.96
55,1,10,sorvu,1,70,70,65,90,1,0.94
56,1,10,sorvu,2,70,85,90,100,0,1.00
57,1,10,sorvu,3,70,85,100,100,0,1.00
58,1,10,sorvu,4,65,75,95,100,0,1.00
59,1,10,sorvu,5,70,80,85,100,0,1.00
60,1,10,sorvu,6,70,85,90,100,0,1.00
