run,trt,name,spp,rate,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,biomass
1,1,EXT1494,red,4.38,1,30,30,30,20,1,0.274
1,1,EXT1494,red,4.38,2,30,20,15,10,1,0.923
1,1,EXT1494,red,4.38,3,40,20,15,10,1,0.493
1,2,EXT1494,red,8.76,1,50,60,60,50,1,0.33
1,2,EXT1494,red,8.76,2,60,70,70,50,1,0.239
1,2,EXT1494,red,8.76,3,50,75,75,50,1,0.245
1,3,EXT1494,red,17.52,1,50,95,95,95,1,0.093
1,3,EXT1494,red,17.52,2,50,90,90,70,1,0.276
1,3,EXT1494,red,17.52,3,40,90,95,95,1,0.187
1,4,EXT1494,red,35.03,1,60,90,95,95,1,0.083
1,4,EXT1494,red,35.03,2,50,90,95,95,1,0.138
1,4,EXT1494,red,35.03,3,50,90,95,95,1,0.221
1,5,EXT1494,red,70.06,1,60,95,95,95,1,0.122
1,5,EXT1494,red,70.06,2,60,95,95,95,1,0.239
1,5,EXT1494,red,70.06,3,70,95,95,95,1,0.138
1,6,EXT1494,red,140.12,1,70,95,95,95,1,0.202
1,6,EXT1494,red,140.12,2,60,90,95,100,0,0
1,6,EXT1494,red,140.12,3,70,90,95,100,0,0
1,7,EXT1494,red,280.24,1,60,95,95,95,1,0.09
1,7,EXT1494,red,280.24,2,70,95,95,95,1,0.057
1,7,EXT1494,red,280.24,3,70,95,95,95,1,0.223
1,15,EXT1494,red,0,1,0,0,0,0,1,2.013
1,15,EXT1494,red,0,2,0,0,0,0,1,2.027
1,15,EXT1494,red,0,3,0,0,0,0,1,2.069
1,8,Pursuit,red,4.38,1,50,80,80,80,1,0.091
1,8,Pursuit,red,4.38,2,50,60,60,50,1,0.508
1,8,Pursuit,red,4.38,3,40,70,70,70,1,0.129
1,9,Pursuit,red,8.76,1,40,95,70,50,1,0.289
1,9,Pursuit,red,8.76,2,40,90,70,60,1,0.372
1,9,Pursuit,red,8.76,3,40,80,90,80,1,0.136
1,10,Pursuit,red,17.52,1,50,95,95,95,1,0.067
1,10,Pursuit,red,17.52,2,50,95,95,95,1,0.262
1,10,Pursuit,red,17.52,3,30,95,100,100,0,0
1,11,Pursuit,red,35.03,1,70,95,95,95,1,0.092
1,11,Pursuit,red,35.03,2,70,95,100,100,0,0
1,11,Pursuit,red,35.03,3,70,95,100,100,0,0
1,12,Pursuit,red,70.06,1,70,95,95,100,0,0
1,12,Pursuit,red,70.06,2,70,95,95,95,1,0.187
1,12,Pursuit,red,70.06,3,80,95,95,95,1,0.057
1,13,Pursuit,red,140.12,1,60,95,100,100,0,0
1,13,Pursuit,red,140.12,2,70,100,100,100,0,0
1,13,Pursuit,red,140.12,3,50,95,100,100,0,0
1,14,Pursuit,red,280.24,1,60,95,100,100,0,0
1,14,Pursuit,red,280.24,2,70,95,95,100,0,0
1,14,Pursuit,red,280.24,3,50,95,95,100,0,0
1,15,Pursuit,red,0,1,0,0,0,0,1,2.013
1,15,Pursuit,red,0,2,0,0,0,0,1,2.027
1,15,Pursuit,red,0,3,0,0,0,0,1,2.069
