run,pop,herb,rate,rep,count,biomass
1,A92,fome,0,1,10,0.13
1,A92,fome,0,2,16,0.524
1,A92,fome,0,3,0,0
1,A92,fome,0,4,0,0
1,A92,fome,33,1,22,0.829
1,A92,fome,33,2,0,0
1,A92,fome,33,3,13,0.324
1,A92,fome,33,4,0,0
1,A92,fome,66,1,5,0.053
1,A92,fome,66,2,0,0
1,A92,fome,66,3,15,0.975
1,A92,fome,66,4,15,0.142
1,A92,fome,132,1,13,0.08
1,A92,fome,132,2,0,0
1,A92,fome,132,3,1,0.01
1,A92,fome,132,4,11,0.602
1,A92,fome,263,1,20,0.582
1,A92,fome,263,2,0,0
1,A92,fome,263,3,0,0
1,A92,fome,263,4,0,0
1,A92,fome,526,1,0,0
1,A92,fome,526,2,0,0
1,A92,fome,526,3,0,0
1,A92,fome,526,4,0,0
1,A92,fome,1052,1,3,0.061
1,A92,fome,1052,2,0,0
1,A92,fome,1052,3,0,0
1,A92,fome,1052,4,0,0
1,A92,fome,2104,1,0,0
1,A92,fome,2104,2,0,0
1,A92,fome,2104,3,0,0
1,A92,fome,2104,4,0,0
1,A66,fome,0,1,13,0.123
1,A66,fome,0,2,13,0.123
1,A66,fome,0,3,13,0.123
1,A66,fome,0,4,13,0.123
1,A66,fome,33,1,1,0.006
1,A66,fome,33,2,1,0.006
1,A66,fome,33,3,1,0.006
1,A66,fome,33,4,1,0.006
1,A66,fome,66,1,0,0
1,A66,fome,66,2,0,0
1,A66,fome,66,3,0,0
1,A66,fome,66,4,0,0
1,A66,fome,132,1,0,0
1,A66,fome,132,2,0,0
1,A66,fome,132,3,0,0
1,A66,fome,132,4,0,0
1,A66,fome,263,1,0,0
1,A66,fome,263,2,0,0
1,A66,fome,263,3,0,0
1,A66,fome,263,4,0,0
1,A66,fome,526,1,0,0
1,A66,fome,526,2,0,0
1,A66,fome,526,3,0,0
1,A66,fome,526,4,0,0
1,A66,fome,1052,1,0,0
1,A66,fome,1052,2,0,0
1,A66,fome,1052,3,0,0
1,A66,fome,1052,4,0,0
1,A66,fome,2104,1,0,0
1,A66,fome,2104,2,0,0
1,A66,fome,2104,3,0,0
1,A66,fome,2104,4,0,0
2,A92,fome,0,1,6,0.016
2,A92,fome,0,2,5,0.103
2,A92,fome,0,3,26,0.304
2,A92,fome,0,4,13,0.227
2,A92,fome,33,1,18,0.266
2,A92,fome,33,2,12,0.238
2,A92,fome,33,3,14,0.308
2,A92,fome,33,4,36,0.822
2,A92,fome,66,1,1,0.014
2,A92,fome,66,2,0,0
2,A92,fome,66,3,1,0.005
2,A92,fome,66,4,40,0.441
2,A92,fome,132,1,4,0.005
2,A92,fome,132,2,0,0
2,A92,fome,132,3,0,0
2,A92,fome,132,4,17,0.22
2,A92,fome,263,1,0,0
2,A92,fome,263,2,0,0
2,A92,fome,263,3,0,0
2,A92,fome,263,4,0,0
2,A92,fome,526,1,0,0
2,A92,fome,526,2,0,0
2,A92,fome,526,3,0,0
2,A92,fome,526,4,0,0
2,A92,fome,1052,1,0,0
2,A92,fome,1052,2,0,0
2,A92,fome,1052,3,0,0
2,A92,fome,1052,4,0,0
2,A92,fome,2104,1,0,0
2,A92,fome,2104,2,2,0.014
2,A92,fome,2104,3,0,0
2,A92,fome,2104,4,0,0
2,A66,fome,0,1,16,0.142
2,A66,fome,0,2,16,0.142
2,A66,fome,0,3,16,0.142
2,A66,fome,0,4,16,0.142
2,A66,fome,33,1,4,0.018
2,A66,fome,33,2,4,0.018
2,A66,fome,33,3,4,0.018
2,A66,fome,33,4,4,0.018
2,A66,fome,66,1,0,0
2,A66,fome,66,2,0,0
2,A66,fome,66,3,0,0
2,A66,fome,66,4,0,0
2,A66,fome,132,1,0,0
2,A66,fome,132,2,0,0
2,A66,fome,132,3,0,0
2,A66,fome,132,4,0,0
2,A66,fome,263,1,0,0
2,A66,fome,263,2,0,0
2,A66,fome,263,3,0,0
2,A66,fome,263,4,0,0
2,A66,fome,526,1,0,0
2,A66,fome,526,2,0,0
2,A66,fome,526,3,0,0
2,A66,fome,526,4,0,0
2,A66,fome,1052,1,0,0
2,A66,fome,1052,2,0,0
2,A66,fome,1052,3,0,0
2,A66,fome,1052,4,0,0
2,A66,fome,2104,1,0,0
2,A66,fome,2104,2,0,0
2,A66,fome,2104,3,0,0
2,A66,fome,2104,4,0,0
